Student Name,Mathematics - Unit Test 1,Mathematics - Midterm 1,Mathematics - Unit Test 2,Mathematics - Midterm 3,Science - Unit Test 1,Science - Midterm 1,Science - Unit Test 2,Science - Midterm 3,English - Unit Test 1,English - Midterm 1,English - Unit Test 2,English - Midterm 3,Computer Science - Unit Test 1,Computer Science - Midterm 1,Computer Science - Unit Test 2,Computer Science - Midterm 3,Social Science - Unit Test 1,Social Science - Midterm 1,Social Science - Unit Test 2,Social Science - Midterm 3
Aarav Sharma,67,75,70,61,68,71,74,76,79,77,72,71,79,72,72,78,59,67,70,64
Vivaan Verma,80,69,82,68,56,56,70,69,74,63,70,70,80,81,80,83,72,73,76,84
Aditya Singh,73,73,88,93,76,82,72,64,72,57,68,71,71,72,85,74,61,61,74,64
Arjun Mehta,68,73,63,69,69,77,69,72,78,78,75,67,76,84,77,91,79,70,67,64
Krishna Yadav,81,82,62,85,67,69,74,87,60,75,63,65,60,73,64,79,84,72,81,63
Rohan Gupta,83,61,80,79,81,79,76,72,68,86,68,76,58,65,70,75,61,74,75,76
Ishaan Joshi,69,76,81,77,79,68,65,69,71,76,82,71,56,58,53,64,59,72,68,60
Kabir Malhotra,69,80,81,74,84,74,82,81,73,93,87,89,84,99,84,90,67,75,73,77
Ayaan Khan,58,73,55,65,59,56,64,72,61,53,44,53,58,43,58,69,64,64,54,58
Reyansh Agarwal,77,72,68,72,69,50,65,72,79,87,78,77,78,76,74,94,75,74,72,91
Atharv Jain,75,83,87,73,60,75,76,80,73,69,87,88,96,91,99,93,78,80,70,87
Dhruv Patel,66,75,86,75,66,71,64,73,86,81,83,72,68,80,82,74,86,71,89,84
Vihaan Saxena,75,60,67,82,90,91,65,86,72,64,55,79,60,77,71,78,77,60,73,84
Rudra Mishra,64,60,70,67,69,65,59,57,66,59,64,61,64,72,67,75,64,61,62,64
Kunal Bansal,64,77,83,69,50,54,45,55,58,58,59,78,54,59,69,59,68,70,75,63
Ansh Kapoor,75,88,86,81,79,73,72,75,68,87,87,82,91,84,85,95,71,71,77,79
Harsh Vardhan,78,76,71,85,83,70,76,77,70,60,79,79,92,76,79,80,68,85,73,66
Yash Thakur,50,39,44,39,45,64,49,51,51,62,54,46,43,54,53,50,50,55,58,69
Manav Saini,60,74,66,74,67,52,57,71,62,65,58,76,63,68,85,71,68,74,69,72
Devansh Choudhary,65,73,68,73,60,56,70,75,69,71,73,70,69,66,59,67,53,58,64,58
Siddharth Rao,72,71,75,74,81,88,86,94,80,85,84,77,91,85,82,94,69,71,67,81
Aryan Tiwari,78,78,78,73,94,94,82,99,91,85,87,97,75,85,68,93,79,80,89,84
Mohit Chauhan,53,69,50,57,64,60,76,65,69,64,59,72,68,71,66,73,68,90,77,75
Pranav Srivastava,99,99,86,99,82,81,95,99,94,93,92,96,88,91,86,91,90,96,95,98
Abhinav Shukla,54,58,43,57,58,61,66,65,57,60,54,60,58,61,59,69,56,45,45,55
Rajveer Shekhawat,80,72,79,70,82,83,82,76,73,72,74,64,67,67,74,63,81,76,71,72
Lakshya Goyal,58,63,57,57,72,79,73,69,67,79,67,63,49,68,58,60,51,65,52,50
Shivam Sharma,73,77,73,65,75,69,64,83,67,72,80,76,75,87,83,79,92,60,67,65
Nikhil Kumar,78,92,95,90,75,79,83,81,83,80,88,99,99,89,78,82,79,99,84,96
Aniket Pandey,77,84,90,94,75,87,83,74,71,87,98,98,78,89,92,83,99,85,83,89
Aditi Sharma,69,65,72,88,79,75,80,91,83,65,74,89,74,55,68,69,58,68,79,84
